기준_년분기_코드,업종,상권_코드,남성_매출_건수,여성_매출_건수
20204,판매업,관악구,22129864,18345240
20204,판매업,광진구,17859739,14255106
20204,판매업,구로구,15376354,12415404
20204,판매업,금천구,14234097,12725144
20204,판매업,노원구,7199420,6170083
20204,판매업,도봉구,9216421,8122841
20204,판매업,동대문구,19967505,16804523
20204,판매업,동작구,13713415,12388195
20204,판매업,마포구,16226102,16551043
20204,판매업,서대문구,10165003,9785279
20204,판매업,서초구,7579292,6744823
20204,판매업,성동구,21204415,29487643
20204,판매업,성북구,13071494,11710350
20204,판매업,송파구,16186592,13718870
20204,판매업,양천구,10319073,8517917
20204,판매업,영등포구,21412158,17327794
20204,판매업,용산구,11201852,9553662
20204,판매업,은평구,15999116,14839820
20204,판매업,종로구,8127163,6433399
20204,판매업,중구,6127705,5229768
20204,판매업,중랑구,18837800,17630331
20211,요식업,강남구,9591657,8759205
20211,요식업,강동구,6691242,5428137
20211,요식업,강북구,4455026,3690728
20211,요식업,강서구,7162083,6181022
20211,요식업,관악구,9090797,6905319
20211,요식업,광진구,5995460,4815305
20211,요식업,구로구,5157240,4161048
20211,요식업,금천구,3211108,2427353
20211,요식업,노원구,3749253,3042031
20211,요식업,도봉구,2793071,2304643
20211,요식업,동대문구,6317578,4838297
20211,요식업,동작구,5615453,4976740
20211,요식업,마포구,7420800,7798294
20211,요식업,서대문구,4692265,4640279
20211,요식업,서초구,4865497,4149344
20211,요식업,성동구,4904551,3572935
20211,요식업,성북구,6276969,5970026
20211,요식업,송파구,6539618,5302550
20211,요식업,양천구,3974745,3234288
20211,요식업,영등포구,6917565,5383583
20211,요식업,용산구,5273804,5058007
20211,요식업,은평구,5563047,5200131
20211,요식업,종로구,3882528,4068936
20211,요식업,중구,3203679,2828026
20211,요식업,중랑구,6561106,5160840
20211,서비스업,강남구,2008406,1937653
20211,서비스업,강동구,3275069,2446174
20211,서비스업,강북구,2601433,2170126
20211,서비스업,강서구,4022565,3275784
20211,서비스업,관악구,5433319,3692038
20211,서비스업,광진구,3132932,2480230
20211,서비스업,구로구,2847196,2336718
20211,서비스업,금천구,2193282,1848530
20211,서비스업,노원구,1594966,1204357
20211,서비스업,도봉구,1852426,1634671
20211,서비스업,동대문구,2485959,1747807
20211,서비스업,동작구,2932043,2477892
20211,서비스업,마포구,2096578,2155885
20211,서비스업,서대문구,1923931,1630736
20211,서비스업,서초구,1473152,1298458
20211,서비스업,성동구,3403582,1544947
20211,서비스업,성북구,3362020,3111388
20211,서비스업,송파구,3362245,2796673
20211,서비스업,양천구,2562632,1962315
20211,서비스업,영등포구,2523835,1921384
20211,서비스업,용산구,1269572,1165591
20211,서비스업,은평구,3586332,2747252
20211,서비스업,종로구,668978,532495
20211,서비스업,중구,712237,644751
20211,서비스업,중랑구,4224716,3244264
20211,판매업,강남구,20132659,16843144
20211,판매업,강동구,14553640,12620586
20211,판매업,강북구,12833412,11158453
20211,판매업,강서구,19620661,17564743
20211,판매업,관악구,20705586,17035627
20211,판매업,광진구,16898136,13532621
20211,판매업,구로구,14801310,11998603
20211,판매업,금천구,14462786,13332365
20211,판매업,노원구,7164630,6109386
20211,판매업,도봉구,9005712,7835893
20211,판매업,동대문구,19213243,16012618
20211,판매업,동작구,12966223,11657653
20211,판매업,마포구,15144534,15152477
20211,판매업,서대문구,9687228,9241872
20211,판매업,서초구,7181264,6506314
20211,판매업,성동구,22050506,27068807
20211,판매업,성북구,12316654,10711556
20211,판매업,송파구,15480959,12949771
20211,판매업,양천구,9561272,8054105
20211,판매업,영등포구,20891966,16643657
20211,판매업,용산구,10469543,8989528
20211,판매업,은평구,15292437,14141231
20211,판매업,종로구,7413620,5648413
20211,판매업,중구,5691419,4788373
20211,판매업,중랑구,17980339,16662701
20212,요식업,강남구,11713379,11036269
20212,요식업,강동구,7984493,6629565
20212,요식업,강북구,5324099,4523265
20212,요식업,강서구,8458016,7430722
20212,요식업,관악구,10669449,8394331
20212,요식업,광진구,7070220,6040677
20212,요식업,구로구,6164069,5068631
20212,요식업,금천구,3779221,2941389
20212,요식업,노원구,4621472,3903692
20212,요식업,도봉구,3329968,2906035
20212,요식업,동대문구,7688117,6253078
20212,요식업,동작구,6803548,6285386
20212,요식업,마포구,9376346,10367280
20212,요식업,서대문구,5809917,6120845
20212,요식업,서초구,5900683,5360559
20212,요식업,성동구,5845850,4642631
20212,요식업,성북구,7620239,7595461
20212,요식업,송파구,7820148,6760080
20212,요식업,양천구,4652782,3928450
