기준_년분기_코드,업종,상권_코드,총 매출
20201,서비스업,송파구,282871702603
20201,서비스업,양천구,187322925097
20201,서비스업,영등포구,177221927658
20201,서비스업,용산구,98876342433
20201,서비스업,은평구,234444403335
20201,서비스업,종로구,52662220401
20201,서비스업,중구,54319140555
20201,서비스업,중랑구,223411519540
20201,판매업,강남구,1090643803814
20201,판매업,강동구,520116508196
20201,판매업,강북구,413077645096
20201,판매업,강서구,604399868002
20201,판매업,관악구,613645258338
20201,판매업,광진구,541942425360
20201,판매업,구로구,450056299618
20201,판매업,금천구,923025079678
20201,판매업,노원구,206658114185
20201,판매업,도봉구,302531193317
20201,판매업,동대문구,882520309073
20201,판매업,동작구,422025562634
20201,판매업,마포구,503742819163
20201,판매업,서대문구,353363358848
20201,판매업,서초구,471756343125
20201,판매업,성동구,393878252021
20201,판매업,성북구,351426504313
20201,판매업,송파구,625510399096
20201,판매업,양천구,296261032679
20201,판매업,영등포구,963128010704
20201,판매업,용산구,823902007900
20201,판매업,은평구,467457117833
20201,판매업,종로구,316281923758
20201,판매업,중구,279122362412
20201,판매업,중랑구,619710169280
20202,요식업,강남구,570682769306
20202,요식업,강동구,297744045745
20202,요식업,강북구,234278646520
20202,요식업,강서구,326534173233
20202,요식업,관악구,353354769710
20202,요식업,광진구,292027991070
20202,요식업,구로구,193281592014
20202,요식업,금천구,169307675014
20202,요식업,노원구,196610453670
20202,요식업,도봉구,125099442408
20202,요식업,동대문구,282273119280
20202,요식업,동작구,240696365324
20202,요식업,마포구,377104522608
20202,요식업,서대문구,240017425417
20202,요식업,서초구,250919615683
20202,요식업,성동구,207537573755
20202,요식업,성북구,288935970608
20202,요식업,송파구,336190345313
20202,요식업,양천구,168659731234
20202,요식업,영등포구,305994008365
20202,요식업,용산구,299530130807
20202,요식업,은평구,278750895428
20202,요식업,종로구,200270571936
20202,요식업,중구,149349330227
20202,요식업,중랑구,328918650718
20202,서비스업,강남구,490198903345
20202,서비스업,강동구,249222536179
20202,서비스업,강북구,184514210112
20202,서비스업,강서구,318839144396
20202,서비스업,관악구,320651819771
20202,서비스업,광진구,221263636663
20202,서비스업,구로구,167925853686
20202,서비스업,금천구,152154636070
20202,서비스업,노원구,105655546148
20202,서비스업,도봉구,121896900287
20202,서비스업,동대문구,186238731769
20202,서비스업,동작구,221277342682
20202,서비스업,마포구,212738220927
20202,서비스업,서대문구,147286648333
20202,서비스업,서초구,204895979913
20202,서비스업,성동구,127407968069
20202,서비스업,성북구,207897182358
20202,서비스업,송파구,312618180558
20202,서비스업,양천구,197847879792
20202,서비스업,영등포구,191951239533
20202,서비스업,용산구,103439743632
20202,서비스업,은평구,253796929445
20202,서비스업,종로구,53657483787
20202,서비스업,중구,59067062263
20202,서비스업,중랑구,236048794074
20202,판매업,강남구,1139028124500
